Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2022-01-03,178.87991333007812,144.30162048339844,325.634765625,179.73496187327837,145.1570280025695,328.79626820388347,174.653873733677,143.02920028001284,320.80009741690554,174.77180525837534,144.36481020586808,326.21843357688016,104487900,28646000,28865100
2022-01-04,176.60963439941406,143.71241760253906,320.0511169433594,179.79392040563258,145.78798930459803,326.07256655416444,176.0396070589959,143.03266881925126,317.239796956852,179.4892539814939,144.70416653668696,325.7126166614886,99310400,28400000,32674300
2022-01-05,171.91184997558594,137.1194305419922,307.7649841308594,177.07156425536837,143.81193646128006,317.19112801347296,171.6366664137079,137.03285410456272,307.37588205960316,176.5211971316123,143.7328164404052,316.9868249346307,94537600,54618000,40054300
2022-01-06,169.04209899902344,137.09205627441406,305.3330993652344,172.28535157211834,139.27412860315894,310.0218586119927,168.6882893547516,135.90871848698256,303.0081644576789,169.730058030557,136.34662727318383,304.62296646871727,96904000,37348000,39646100
2022-01-07,169.20913696289062,136.36505126953125,305.4887390136719,171.14525945761193,137.7897432622947,307.8817452139908,168.08874249862777,135.12049780917903,301.64628513715576,169.91675609783337,137.48817599061857,305.5957294780859,86709100,29760000,32720000
2022-01-10,169.22879028320312,138.0096893310547,305.7124938964844,169.53345670452697,138.1589847256294,306.1502523809237,165.27791944101605,132.5308930765843,296.39336802101064,166.1722734494287,134.43528635965367,301.062653317601,106765600,44408000,44289500
2022-01-11,172.069091796875,139.0710906982422,306.4031677246094,172.1673630652104,139.54881766216988,307.98875821098284,167.88235785704865,136.0420848882387,301.4517709780265,169.35656184948618,137.3503290474821,304.8467294701286,76138300,28730000,29386800
2022-01-12,172.51138305664062,140.75753784179688,309.6034851074219,174.13300176054906,141.9294404967946,314.60353696148184,171.813601431131,140.02504742905134,308.44588647775686,173.09123313899516,140.4783702161075,310.96538680343946,74805200,26108000,34372200
2022-01-13,169.22879028320312,137.92758178710938,296.50030517578125,173.5825988136433,142.1702980929826,312.14246451080345,168.83566022635117,137.75041975538085,295.7221009951654,172.7570481888216,140.86651857043935,311.7436252200972,84505800,31436000,45366000
2022-01-14,170.0936737060547,138.81683349609375,301.7532958984375,170.79145523828697,140.07233622287117,302.3564086085924,168.14771352583708,136.34664851003265,295.4789168995165,168.39341420548664,136.42675564025197,295.96530194791075,80440800,29662000,39846400
2022-01-18,166.87991333007812,135.3509063720703,294.4088439941406,169.57278332194957,136.4790121933109,301.3641437796384,166.49662084966823,134.79407449285608,293.5236197033921,168.56049766865218,135.52706612876938,295.7901905004896,90956700,34872000,42333200
2022-01-19,163.3712615966797,134.4735870361328,295.0703430175781,168.1378599017272,137.30306172956688,305.3622673575025,163.086255459233,134.37306968151069,294.4575227878917,167.07643136174622,135.87388991456638,297.9497639039901,94815000,28648000,45933900
2022-01-20,161.68084716796875,132.67318725585938,293.3874206542969,166.7619347111161,136.97115074107518,303.16374670375416,161.35652051674097,132.3318170208066,292.9399547929001,164.10837074224375,135.60169102059876,300.654013313696,91420500,29908000,35380700
2022-01-21,159.61697387695312,129.73126220703125,287.9691162109375,163.46955826967317,134.22377601264574,295.82908513910786,159.50886499109,129.46752373899022,287.56053972855347,161.5924017044035,131.96259868346377,294.44776829500927,122848900,55652000,57984400
2022-01-24,158.84056091308594,130.18161010742188,288.2998046875,159.50887451917274,130.5787136535352,289.0196448992482,152.0395683138979,123.90760490884027,268.53311359414414,157.26808565686596,125.37856914011597,284.24337091095356,162294600,76622000,85731500
2022-01-25,157.03224182128906,126.33102416992188,280.6344299316406,159.96099018333973,128.7833046294374,286.9574354302845,154.31971129097184,125.89859753096928,277.40485583875466,156.2459965237476,128.12744363968903,283.5819220766219,115798400,46960000,72848600
2022-01-26,156.94375610351562,128.6180877685547,288.630615234375,161.56292551584528,132.3671620019992,300.09958331074847,155.1059199641222,126.53703372214112,285.05082830215923,160.6882317654177,130.49511541961544,299.60346104770645,108275300,49130000,90428900
2022-01-27,156.48182678222656,128.39117431640625,291.6753845214844,161.02236986801861,132.02131030726912,298.93224118758064,155.55798996472078,128.31900956615908,289.8173900598136,159.65627489219415,130.6792312241268,294.4186033404908,121954600,31950000,53481300
2022-01-28,167.4008026123047,132.7164764404297,299.8661193847656,167.4204628672782,132.7219586526589,300.08012999341486,160.0002987329338,127.8736329072529,286.4321667298066,162.8602584781643,129.04204267651795,292.05477669895004,179935700,34362000,49743700
2022-01-31,171.7742462158203,134.65969848632812,302.5120544433594,171.9904639988434,134.82840181492318,303.8739266373001,166.59487204384064,131.58042613665086,298.0275688741196,167.23370276509192,133.5236351765011,300.53733234049855,115541600,39986000,46444500
